,coord,frequentadores
117,"[291086, 7382006]","[5110035104, 5110035103, 5110035106, 5110035102, 5110035103, 5110035105]"
118,"[291222, 7385085]","[4880006103, 4880006101, 4880006101]"
119,"[291291, 7350396]","[4750027101, 4750027101]"
120,"[291541, 7350771]","[4750027102, 4750027104, 4750027101, 4750027101]"
121,"[291556, 7387070]",[5110309102]
122,"[291557, 7376361]",[5110025101]
123,"[291579, 7349961]","[4750370103, 4750370101]"
124,"[291586, 7386884]",[5120009102]
125,"[291597, 7348744]","[4750033103, 4750033104]"
126,"[291645, 7377659]",[5110045101]
127,"[291647, 7354438]",[4750318103]
128,"[291661, 7378183]",[5110048101]
129,"[291679, 7378185]",[5110048101]
130,"[291764, 7380999]",[5110030101]
131,"[291844, 7386988]",[4700012101]
132,"[291889, 7380906]",[5070013104]
133,"[291937, 7380508]",[5110035105]
134,"[291945, 7380492]",[5110010102]
135,"[292037, 7377752]","[5110045101, 5110045102]"
136,"[292166, 7381370]","[5110010104, 5110013103, 5110010102, 5110013104, 5110010101, 5110013101]"
137,"[292473, 7354141]",[4750020101]
138,"[292481, 7383749]","[5110909105, 5110909101, 5110909101, 5110909102, 5110909103, 5110909104, 5110909106]"
139,"[292506, 7389086]","[5120595104, 5120595101, 5120595103]"
140,"[292524, 7351068]","[4750018103, 4750056102]"
141,"[292590, 7379845]","[5110035104, 5110013103, 5110013104]"
142,"[292627, 7387926]",[5121004104]
143,"[292784, 7387882]",[4660967101]
144,"[292790, 7386645]","[5121228102, 360083101, 5121228101, 5121228103]"
145,"[292835, 7387878]",[5120004102]
146,"[292858, 7379718]","[5110001101, 5110356102, 5110001102, 5110356101]"
147,"[292894, 7386631]","[5120039102, 5120039101, 5120039105, 5120039101, 5120039106, 5120039107, 5120039104]"
148,"[292896, 7387795]","[5121171101, 5121171102, 5121171102, 5121171106, 5121171105, 5121171103, 5121171103, 5121171104]"
149,"[292904, 7382347]","[5110043104, 5110043102, 5110043101, 5110043102]"
150,"[292937, 7384134]",[5120633101]
151,"[292945, 7387741]","[5110909104, 5110909103]"
152,"[292955, 7387574]","[5121148102, 5121148103]"
153,"[292979, 7380526]","[5110007104, 5110007101, 5110007102]"
154,"[292982, 7387758]","[5130501104, 5130501103, 5130501102, 5130501101]"
155,"[292986, 7389515]","[5120722101, 5120722102]"
156,"[293015, 7379850]",[5110038103]
157,"[293020, 7382233]",[5121176101]
158,"[293096, 7379648]","[5110001102, 5110001101]"
159,"[293119, 7379630]","[5080055104, 5080055101, 5080055101, 5080055105]"
160,"[293122, 7387750]",[5120039104]
161,"[293175, 7376949]",[5080055103]
162,"[293208, 7387108]",[5120568103]
163,"[293236, 7378422]","[5110926103, 5110926104, 5110926101, 5110926104, 5110926101]"
164,"[293248, 7377486]",[5120673101]
165,"[293301, 7387265]","[5120039105, 5120039106, 5110909106, 5110909101, 5110909101, 5110909105, 5120039107]"
166,"[293328, 7377584]","[5110911105, 5110911101, 5110911101]"
167,"[293333, 7388930]",[5120311103]
168,"[293339, 7379457]",[5110027101]
169,"[293413, 7381563]","[5110050103, 5110050102, 5110050105, 5110050101, 5110050106, 5110050104]"
170,"[293465, 7380375]","[5110002101, 5110002103, 5110002103]"
171,"[293498, 7378552]",[5111339103]
172,"[293502, 7351516]",[4750055101]
173,"[293512, 7388176]",[5120722102]
174,"[293545, 7387991]",[5120041103]
175,"[293545, 7388591]",[5120673103]
176,"[293557, 7386722]","[5120568104, 5120568102, 5120568102]"
177,"[293586, 7382126]","[5111332104, 5111332105, 5110043104, 5110050104, 5111332102, 5110050103, 5110043102, 5110043102, 5111332102]"
178,"[293621, 7388499]","[5121146101, 5121146104]"
179,"[293657, 7380451]","[5110337101, 5110337104, 5110337103]"
180,"[293660, 7388626]",[5120011103]
181,"[293675, 7379211]","[5110038103, 5110337104]"
182,"[293675, 7388133]",[5110050101]
183,"[293681, 7389033]","[5120673103, 5120673101]"
184,"[293686, 7381740]","[5111332105, 5111332104, 5111332102, 5111332102]"
185,"[293695, 7388144]",[5120628103]
186,"[293698, 7379078]","[5110029101, 5110029102]"
187,"[293710, 7387967]","[5120693101, 5120693101]"
188,"[293719, 7379317]","[5110007104, 5110351103]"
189,"[293729, 7378582]","[5110926101, 5110926101, 5110926102, 5110926103, 5110926104, 5110926104]"
190,"[293745, 7379006]",[5080055101]
191,"[293772, 7379091]",[5150331107]
192,"[293790, 7373419]",[5110918101]
193,"[293818, 7381064]",[5110031101]
194,"[293820, 7378977]","[5111336105, 5111336106, 5111336101, 5111336102, 5110040102, 5111336103, 5110920103]"
195,"[293831, 7379120]",[5110010104]
196,"[293849, 7380006]",[5110327101]
197,"[293889, 7351342]","[4750037102, 4750037102, 4750018104, 4750018103, 4750018103, 4750018102, 4750037104, 4750018101, 4750037105]"
198,"[293889, 7378878]",[5110911103]
199,"[293890, 7379881]","[5110351101, 5110351102, 5110351103, 5110351103]"
