,coord,frequentadores
0,"[289138, 7351758]","[4750001103, 4750001103]"
1,"[289329, 7351907]",[4750058103]
2,"[293115, 7387940]","[5120722101, 5120722101]"
3,"[294146, 7378883]","[5110921102, 5110976102, 5081196102, 5081196102]"
4,"[295621, 7351831]",[4750039101]
5,"[297480, 7396361]","[5080109101, 5130306102, 5120532102, 5150061101, 5130306102, 5120532102, 5142023101, 5082525101, 5142023101, 5082525101]"
6,"[301190, 7394821]","[621047103, 5150051102]"
7,"[301283, 7408553]","[5171174102, 5171174102]"
8,"[301345, 7388071]",[5130026102]
9,"[301385, 7387934]",[5110902102]
10,"[301734, 7387965]",[5111328103]
11,"[302034, 7394346]","[5150051101, 5150051101]"
12,"[302460, 7394708]",[5150573101]
13,"[302483, 7394765]","[5130495103, 5130323102, 5150037102, 5150028101, 5150049102, 5130323102, 5150037104, 5150072102, 5150070101, 4810042102, 5151972101, 4810042102, 5150044101, 5150049102, 5150070101, 5130024101, 5130026101, 5150023103, 5150059102, 5140042102, 5150016102, 1831153101, 5150059102, 5150044101, 5150021101, 5140057101, 5130004101, 5140057104, 5150023101, 5150001101, 5140079103, 5150051102, 5150051102]"
14,"[302501, 7394665]","[5150011101, 5150011101]"
15,"[302559, 7394909]",[5150001101]
16,"[302611, 7394845]","[4810541103, 4810541103]"
17,"[302627, 7394867]","[5130002101, 5150045102, 5150045102, 5150053101, 5130004102, 5130306103, 5150071101, 5150071101, 5130002101, 5150053101, 5150072105, 5130306103, 5150471102, 5150023101, 5150471102, 5150007101, 5140002105, 5150023103, 5150007101, 5150007102, 5140045102, 5150007102, 5050007101, 5130313101, 5150041101, 5150041101, 5140045102]"
18,"[302908, 7394746]","[5150022101, 5150022101]"
19,"[302924, 7393013]",[5040032101]
20,"[303042, 7388322]",[5120041103]
21,"[303094, 7388372]","[5120629103, 5120629103]"
22,"[303096, 7388351]",[5121176103]
23,"[303418, 7388383]",[5121655101]
24,"[303494, 7397841]",[4830009104]
25,"[303502, 7397723]","[4830020101, 4830020101]"
26,"[303514, 7397815]",[4830024101]
27,"[303522, 7388179]","[5080008103, 5080008103]"
28,"[303538, 7387991]","[4670020104, 4670020104]"
29,"[303900, 7388195]",[4760019101]
30,"[303908, 7388156]",[5040032101]
