,coord,frequentadores
0,"[289138, 7351758]",[4750020102]
1,"[294146, 7378883]",[5110921102]
2,"[297480, 7396361]","[5080109101, 5150061101]"
3,"[302460, 7394708]",[5150573101]
4,"[302483, 7394765]","[5150001102, 5130024101, 5080301101, 5150016102, 5151972101, 5050007101, 5150023101, 5150051102]"
5,"[302627, 7388356]","[5110976102, 5110976102]"
6,"[302627, 7394867]","[5150331107, 5130004102]"
7,"[303123, 7388317]",[5121655101]
8,"[303178, 7388283]",[5111328103]
9,"[303494, 7397841]",[4830009104]
10,"[303545, 7388217]",[281733101]
11,"[303915, 7388350]","[4820742102, 5082390101, 5082278101, 5140320102, 5130513102, 5080109101, 4930303104, 5090015102, 5110902102]"
12,"[304194, 7388367]","[5110921102, 5031275102]"
13,"[304394, 7396600]",[4830016101]
14,"[304860, 7388537]",[800050101]
15,"[305236, 7398079]",[4830004101]
16,"[305726, 7396743]","[5050040103, 5050003102, 220820101, 1390864102, 5040496101, 5050605104, 4830025102, 5050473103, 5050792101]"
17,"[306473, 7404946]",[5170320101]
18,"[306650, 7401221]",[4830012102]
19,"[306707, 7397263]","[4810541101, 4810337101, 4810042102, 5050635104, 5050635103]"
20,"[306713, 7397184]","[4800026103, 5150023101]"
21,"[307286, 7391520]",[3150359101]
22,"[307407, 7394504]",[4930853101]
23,"[308538, 7398490]","[4830012102, 4820030102, 4820028101, 4830016101, 4810042101, 4760594103, 4830019101, 4760014102, 4830019101, 4830026102, 4830026103, 5150023103, 4760054102]"
24,"[308552, 7404860]",[5110902102]
25,"[308886, 7399453]",[4830004101]
26,"[308918, 7398813]",[4820967104]
27,"[308974, 7403805]",[4830009104]
28,"[309452, 7399883]",[4830008103]
29,"[309915, 7389234]","[5071177103, 4620031102]"
30,"[310320, 7398006]","[771297103, 771297102]"
31,"[310791, 7378782]",[4710043101]
32,"[310964, 7376297]","[4750058103, 4750058103]"
33,"[311006, 7383514]","[4670049101, 4670303105]"
34,"[311288, 7382875]",[4670018101]
35,"[311410, 7376056]",[3090527101]
36,"[311485, 7375727]",[4690312102]
37,"[311521, 7376390]",[4750039101]
38,"[311525, 7376309]",[4650398101]
39,"[311899, 7399879]",[4820308102]
40,"[312457, 7399747]",[5170320101]
41,"[312497, 7397797]",[410433102]
42,"[312536, 7384293]",[4670014101]
43,"[312563, 7384301]",[4670009101]
44,"[312634, 7397889]","[4840089103, 4880333104, 4880010101, 4861757102, 4860589102, 4880741101, 4860589102, 4860533105, 4860340101, 4860053102, 4860004103, 4850588101, 4840063104, 4842483101, 4842337102, 4841460102, 4841307102, 4841295102, 4840506102, 4840304103, 4840094101, 4840093101, 4840091103, 4850817102, 4841295302, 4840374102, 880097101, 5150051102, 5031286101]"
45,"[314302, 7378511]",[4710046104]
46,"[314415, 7389892]",[4951139102]
47,"[314659, 7397368]","[4850036101, 4850622101, 4850875102]"
48,"[314874, 7386365]","[4640951102, 4640951103]"
49,"[314902, 7378949]",[4710045105]
50,"[314910, 7363140]",[4740342102]
51,"[315169, 7363564]",[4740406102]
52,"[315512, 7397460]",[4960006101]
53,"[315858, 7397306]",[712914101]
54,"[316229, 7379342]",[4710017102]
55,"[316314, 7379446]",[4710353102]
56,"[316317, 7397086]","[5170020101, 4941528101, 780021101]"
57,"[316382, 7379431]",[4750035102]
58,"[316456, 7379486]",[4750039101]
59,"[316462, 7379472]",[3090527101]
60,"[316696, 7397147]","[4952360101, 4960021102, 5161911101, 4953489102, 4951324102, 4810029102, 4950086101]"
61,"[317021, 7392214]",[4951139102]
62,"[317039, 7383470]","[4640951102, 4640951103]"
63,"[317328, 7405611]",[1170341102]
64,"[317372, 7390426]",[3330023101]
65,"[317409, 7397950]",[4860683101]
66,"[317429, 7407617]",[1170035102]
67,"[318407, 7376546]",[3070061101]
68,"[318433, 7390776]",[4930303104]
69,"[318514, 7377781]",[3070354103]
70,"[318564, 7378508]",[3090102101]
71,"[318596, 7397677]",[5020834103]
72,"[318687, 7406141]",[1180029102]
73,"[318689, 7378665]",[3070075103]
74,"[318696, 7378418]",[3070417102]
75,"[318725, 7396956]","[4950359101, 4950114103, 5050007101, 2021228103, 4940033101, 3211724103, 4920913101, 4940597103, 3330038102, 4900448102, 730016101, 1661350103, 4870650105, 4941410101, 2811521101, 1520006101, 432280101, 5150053101, 4940618106, 4920913102, 3230001101, 4951200104, 540373101, 3360875102, 4951193104, 4951171101, 712914101, 4971131103, 4971351104, 2811521101, 4990045201, 4990045202, 4990118101, 4990143101, 2201806101, 4951255103, 3040958101, 4991951201, 4991947102, 5001199101, 5150021101, 5020013104, 4770373102, 5011324101, 4991958103, 2121250101, 5150053101, 5000013101, 5000002103, 4992467106, 4992133101, 4992105103, 5000317101]"
76,"[318744, 7379967]",[4690029105]
77,"[318789, 7378731]",[3070326106]
78,"[318799, 7378715]",[3071286103]
79,"[318812, 7396932]","[660438101, 5161386103, 4992027103]"
80,"[318819, 7396815]","[4910782104, 5020327103, 5001013103, 3111318103]"
81,"[318823, 7378720]",[3090503104]
82,"[318858, 7396740]","[850007107, 4970111101]"
83,"[318920, 7378759]",[3070761101]
84,"[318923, 7385085]",[3070354103]
85,"[318938, 7380409]",[3090341101]
86,"[318941, 7383446]",[4690026101]
87,"[319011, 7396161]",[5020834103]
88,"[319124, 7378930]","[3070445101, 3070348101, 3070761105, 1290004101, 3070830102, 3070075102, 3071036101, 3070550102, 3071171101, 3071036103, 3072535101, 3072563103]"
89,"[319235, 7385335]",[3040021103]
90,"[319356, 7379208]","[3070073102, 4683605102]"
91,"[319361, 7379254]",[3070354102]
92,"[319361, 7382301]",[3150145102]
93,"[319482, 7379553]",[3071177101]
94,"[319492, 7382317]",[3250025101]
95,"[319510, 7379421]","[3070063102, 3070063101]"
96,"[319524, 7379570]",[3070354105]
97,"[319529, 7380020]",[3072761103]
98,"[319552, 7390708]",[5121655101]
99,"[319579, 7382321]",[3240020104]
100,"[319586, 7382316]","[3070061103, 3070061103]"
101,"[319690, 7382371]","[3140332102, 3090344101, 3090344104, 3090370101, 3153799101, 3153470102, 3153352102, 3153274104, 3153274103, 3153245101, 3153203102, 3090424102, 3150387101, 3101169101, 3150372103, 3110039104, 3150306101, 3070798101, 3150120101, 3150082102, 3141923104, 3141923103, 3121535104, 3130543101, 3140040103, 3140984104, 3000531101, 4660895103, 4651183101, 4650004101, 4650004103, 4650026103, 4650039103, 4650047101, 4651032102, 4660894101, 4680011101, 4680029102, 4680044101, 4680071102, 4680081102, 4680108102, 4680108103, 4680329102, 4680401101, 4680630101, 4680630103, 4681724101, 4682108101, 4710017103, 4710017104, 4710045105, 4710046104, 4721827102, 4740342102, 4740401101, 4640332105, 4640038102, 4740406102, 230318103]"
102,"[319702, 7382225]",[3150462101]
103,"[319704, 7395361]",[4851179101]
104,"[319719, 7382246]",[4680053103]
105,"[319727, 7385843]",[3150359101]
106,"[319736, 7390619]",[5082390101]
107,"[319747, 7382373]","[3151096102, 3090437104, 3070026102, 3153488102, 4710017103, 3070417102, 3070398103, 4710017104]"
108,"[319771, 7382358]",[4740401101]
109,"[319836, 7395302]",[5162337101]
110,"[319902, 7382596]",[3140968101]
111,"[319978, 7388418]",[5162337101]
112,"[320087, 7396533]",[4971355102]
113,"[320131, 7382632]",[3150798103]
114,"[320172, 7396578]","[810538101, 5150037104, 4900439105, 5150037102, 780752102, 4990326104, 780752101, 3381341101, 3380032102, 3371048103, 4800026103, 540655101, 3050095103]"
115,"[320182, 7383636]",[3231577103]
116,"[320190, 7394977]",[3360029103]
117,"[320202, 7394871]","[4850046101, 4810542102, 5050047103]"
118,"[320239, 7382748]",[3150370103]
119,"[320295, 7382964]","[3140029102, 3150387103, 201800111, 3151090101, 3140029101]"
120,"[320406, 7388063]",[4651946102]
121,"[320536, 7380421]",[3090889101]
122,"[320550, 7361773]",[490448101]
123,"[320578, 7380400]",[3090354101]
124,"[320586, 7392264]",[3360006103]
125,"[320601, 7383477]","[541210102, 2820308102, 3231577101, 2950008103, 4610673102, 4620048101, 4620028103, 4630046103, 4640038101, 4610399102, 4620028102, 4640332102, 3231577101, 4750035102, 4610673103, 4610321102, 4630006104]"
126,"[320621, 7387844]",[4610422102]
127,"[320628, 7402717]",[602327102]
128,"[320645, 7383494]","[3231334101, 3150022101, 4640042102, 3070398103, 2801627101, 3090341101, 4650010101, 970070101]"
129,"[320821, 7383326]",[4690026101]
130,"[320850, 7410527]","[1190337102, 1120009102, 1160022104, 1190359101, 1190352101, 3440524102, 1191474103, 3510038201, 3580045103, 3440561101, 1191232101]"
131,"[321034, 7414910]","[3560021101, 3450306101, 3440014102, 3440007101, 3440524103, 3440942105, 3440788102]"
132,"[321109, 7414950]",[3440301102]
133,"[321137, 7387874]",[4601207101]
134,"[321434, 7388443]",[4650350102]
135,"[321531, 7406880]","[260725101, 3560321102]"
136,"[321620, 7396988]",[2140035101]
137,"[321809, 7424133]","[3560313101, 3560015102, 3560013102, 3560013101, 3551685101, 3550357101, 3560027101, 3550320101, 3550045102, 3550042101, 3550026101, 3560028102, 3550017102, 3560013104, 3550017101, 3560038102, 3560046102, 3560663104, 3563923104, 3570029102, 3570308101, 3560062102, 3560071102, 3560093101, 3560116101, 3550001101, 3560321102]"
138,"[321893, 7403375]","[1190337102, 1191474103, 1120694102, 1120694101]"
139,"[321945, 7384508]","[3260620103, 3230557102]"
140,"[322246, 7405068]",[1150020101]
