,coord,frequentadores
39,"[288352, 7381380]","[5110021103, 5110021102]"
40,"[288441, 7381539]",[5110009102]
41,"[288473, 7381101]",[5110014101]
42,"[288520, 7352971]","[4750016101, 4750016102]"
43,"[288532, 7381821]","[5110011102, 5110021102, 5110021103]"
44,"[288544, 7353211]","[4750013104, 4750014108, 4750014106, 4750014105, 4750010104, 4750013103]"
45,"[288546, 7353126]","[4750055103, 4750055103, 4750055101, 4750055101]"
46,"[288632, 7352518]",[4750034101]
47,"[288639, 7352846]","[4750036103, 4750036101, 4750036101]"
48,"[288650, 7352309]","[4750060103, 4750060101, 4750060102]"
49,"[288827, 7352751]",[4750304102]
50,"[288843, 7352575]",[4750009101]
51,"[289089, 7352417]","[4750052103, 4750052104]"
52,"[289138, 7351758]","[4750002104, 4750020101, 4750022102, 4750001102, 4750001102, 4750039104, 4750022102]"
53,"[289193, 7352005]","[4750058105, 4750058104, 4750058106]"
54,"[289219, 7351997]","[4750002103, 4751736103, 4750060103, 4750036103, 4750318103, 4750052103]"
55,"[289248, 7351694]",[4751718102]
56,"[289253, 7351648]",[4750034101]
57,"[289254, 7351649]",[4750029101]
58,"[289272, 7351992]",[4750060101]
59,"[289278, 7351907]","[4750370101, 4750370103]"
60,"[289284, 7351024]",[4750304102]
61,"[289284, 7351926]",[4750059104]
62,"[289298, 7351948]",[4750015101]
63,"[289301, 7351790]","[4750045101, 4750045102]"
64,"[289318, 7352074]",[4710306105]
65,"[289321, 7351881]",[4750036101]
66,"[289321, 7352266]",[4750009101]
67,"[289322, 7351141]","[4750029104, 4750029103, 4750029101]"
68,"[289329, 7351907]","[4750001101, 4750026106]"
69,"[289342, 7351053]","[4750016104, 4710967108, 4750029103, 4750016103]"
70,"[289357, 7352190]","[4750026101, 4750015101, 4750036101, 4750041102]"
71,"[289360, 7351638]",[4750058102]
72,"[289361, 7351637]",[3120026101]
73,"[289371, 7351923]",[4750035102]
74,"[289372, 7351732]","[4750045102, 4750045101]"
75,"[289380, 7352213]",[4751736103]
76,"[289394, 7351219]",[4750027104]
77,"[289404, 7350944]","[4750002103, 4750002104]"
78,"[289414, 7351780]","[4750019102, 4750019101]"
79,"[289426, 7351847]","[4750037102, 4750037102, 4750037105]"
80,"[289433, 7351844]","[4751710101, 4751710102]"
81,"[289465, 7351622]",[4750054101]
82,"[289482, 7351873]","[4750055102, 4750055101]"
83,"[289511, 7351795]",[4750040101]
84,"[289575, 7351756]",[4750033104]
85,"[289588, 7351929]","[4750053101, 4750053101, 4750053102, 4750053102]"
86,"[289601, 7351917]",[4750029104]
87,"[289612, 7351466]","[4750053102, 4750053102]"
88,"[289623, 7351968]",[4750058109]
89,"[289641, 7351652]",[4750014101]
90,"[289647, 7351653]",[4750031101]
91,"[289675, 7351850]",[4750010102]
92,"[289686, 7348837]","[4750338102, 4750338101]"
93,"[289711, 7351368]","[4750053101, 4750053101]"
94,"[289724, 7351299]",[4750005103]
95,"[289734, 7348953]",[4750027102]
96,"[289754, 7351364]",[4750060102]
97,"[289760, 7352566]","[4750017104, 4750017101, 4750017105, 4750017102, 4750017103]"
98,"[289778, 7348960]","[4750338101, 4750338102]"
99,"[289804, 7352682]","[4750058108, 4750058107]"
100,"[289816, 7350932]",[4750031101]
101,"[289847, 7351314]",[4750044104]
102,"[289974, 7383565]","[5110002101, 340674101]"
103,"[290002, 7382375]","[5110035103, 5110035103, 5110035106]"
104,"[290028, 7380787]",[5110045102]
105,"[290276, 7350913]",[4750046103]
106,"[290368, 7350714]",[4750014102]
107,"[290369, 7350712]",[4750014103]
108,"[290396, 7346995]",[4750033103]
109,"[290454, 7352138]","[4750001104, 4750001102, 4750001101, 4750001102, 4750001105, 4750001103]"
110,"[290634, 7384342]",[5110022101]
111,"[290644, 7350569]",[4750054101]
112,"[290798, 7352196]","[4750023101, 4750023101]"
113,"[290926, 7386064]",[5110035102]
114,"[290943, 7382897]",[5090316103]
115,"[290970, 7385944]",[5120311104]
116,"[290993, 7381657]",[5121004102]
117,"[291024, 7352567]","[4750023101, 4750023101]"
118,"[291086, 7382006]","[5110035103, 5110035104, 5110035106, 5110035105, 5110035103, 5110035102]"
119,"[291222, 7385085]","[4880006103, 4880006101, 4880006101]"
120,"[291291, 7350396]","[4750027101, 4750027101]"
121,"[291541, 7350771]","[4750027104, 4750027101, 4750027101, 4750027102]"
122,"[291556, 7387070]",[5110309102]
123,"[291557, 7376361]",[5110025101]
124,"[291579, 7349961]","[4750370101, 4750370103]"
125,"[291586, 7386884]",[5120009102]
126,"[291597, 7348744]","[4750033103, 4750033104]"
127,"[291645, 7377659]",[5110045101]
128,"[291647, 7354438]",[4750318103]
129,"[291661, 7378183]",[5110048101]
130,"[291679, 7378185]",[5110048101]
131,"[291764, 7380999]",[5110030101]
