,coord,frequentadores
85,"[295438, 7386531]","[5121156103, 5121156103]"
86,"[295441, 7411091]","[5170052104, 5170012103, 5170012103, 5170052104]"
87,"[295441, 7411092]","[5170031102, 5170031102]"
88,"[295640, 7386919]","[5121663103, 5121913104, 5121914103, 5121663103, 5121913104, 5121914103]"
89,"[295672, 7352083]","[4750018104, 4750018104]"
90,"[295701, 7386418]","[5121004103, 5121004103]"
91,"[295719, 7383126]","[5120011105, 5120002103, 5120002103, 5120002104, 5120002104, 5120003104, 5120003104, 5120003104, 5120011104, 5120011104, 5120011105]"
92,"[295755, 7411925]","[5170012105, 5170012105]"
93,"[295778, 7410372]","[5170320106, 5170320106, 5170320107, 5170320107]"
94,"[295792, 7382991]","[5120003105, 5120003105, 5120003105]"
95,"[295949, 7394393]","[5130331103, 5130331103, 5130330105, 5130330105, 5130323104, 5130323104, 5130317104]"
96,"[296228, 7410266]","[5170452103, 5170452103]"
97,"[296284, 7401168]","[5160056103, 5160056105, 5160056103, 5160056105]"
98,"[296361, 7387308]","[5080015103, 5080015103]"
99,"[296455, 7400864]","[5160056104, 5160056104]"
100,"[296540, 7384230]","[5121249103, 5121249103]"
101,"[296779, 7384359]","[5121176104, 5121176105, 5121176105, 5121179104, 5121179104, 5121176104]"
102,"[296822, 7384224]","[5121179103, 5121179103]"
103,"[296822, 7384226]","[5121120102, 5121120102, 5121120103, 5121120103]"
104,"[296883, 7384351]","[5080109102, 5080109102, 5110915102, 5110915102]"
105,"[296964, 7384318]",[5120003103]
106,"[297092, 7394822]","[5130330103, 5130330103, 5130338103, 5130338103]"
107,"[297200, 7387265]","[5060649103, 5060649103]"
108,"[297435, 7409298]","[5170332102, 5170332102]"
109,"[297440, 7409306]","[5170352104, 5170352104, 5170046104, 5170046104]"
110,"[297476, 7409225]","[5170310104, 5170310104]"
111,"[297478, 7409239]","[5170345102, 5170345102]"
112,"[297484, 7386819]","[5080090103, 5080090103]"
113,"[297703, 7395927]","[5150041105, 5150041105]"
114,"[297866, 7395139]","[5130323103, 5130323103]"
115,"[297872, 7408903]","[5170302103, 5170302103]"
116,"[297875, 7355941]","[4750001105, 4750026105, 4750001105, 4750001104, 4751718103, 4750001104, 4750026105, 4751718103]"
117,"[297879, 7396212]","[5150953104, 5150531103, 5150953103, 5150953103, 5150531104, 5150016106, 5150016106, 5150016103, 5150016103]"
118,"[297887, 7396298]","[5130304104, 5130304104]"
119,"[297910, 7395209]","[5130320102, 5130320102, 5130320102, 5130320102, 5130317103]"
120,"[297911, 7395207]","[5130322102, 5130322102]"
121,"[297911, 7395208]","[5150541106, 5150541106]"
122,"[297950, 7395158]","[5130005102, 5130005102]"
123,"[297971, 7395733]","[5150016105, 5150016105]"
124,"[298212, 7395784]","[5150016104, 5150016104]"
125,"[298323, 7396760]","[5150531105, 5150953105, 5150953105, 5150953107, 5150953106, 5150953107, 5150953106]"
126,"[298480, 7409583]","[5170345103, 5170345103]"
127,"[298514, 7409658]","[5170346103, 5170346103]"
128,"[298520, 7386430]","[5080109103, 5080109103]"
129,"[298587, 7409673]","[5170452104, 5170452104]"
130,"[298629, 7409738]","[5170328103, 5170328103]"
