,coord,frequentadores
89,"[290368, 7350714]","[4750014102, 4750014102]"
90,"[290369, 7350712]","[4750014103, 4750014103]"
91,"[290644, 7350569]","[4750054101, 4750054101]"
92,"[290926, 7386064]","[5110035102, 5110035102]"
93,"[290993, 7381657]","[5121004102, 5121004102]"
94,"[291024, 7352567]","[4750023101, 4750023101, 4750023101, 4750023101]"
95,"[291291, 7350396]","[4750027101, 4750027101, 4750027101, 4750027101]"
96,"[291315, 7350824]",[4750006103]
97,"[291541, 7350771]","[4750027103, 4750027102, 4750027102]"
98,"[291579, 7349961]","[4750370103, 4750370103]"
99,"[291597, 7348744]","[4750033104, 4750033104, 4750033103, 4750033103]"
100,"[291645, 7377659]","[5110045101, 5110045101]"
101,"[291647, 7354438]",[4750318101]
102,"[291679, 7378185]","[5110048101, 5110048101]"
103,"[291844, 7386988]","[4700012101, 4700012101]"
104,"[291945, 7380492]","[5110010102, 5110010102]"
105,"[292166, 7381370]",[5110013102]
106,"[292473, 7354141]","[4750020101, 4750020101]"
107,"[292481, 7383749]","[5110909101, 5110909101, 5110909101, 5110909101]"
108,"[292683, 7386599]","[230667101, 230667101]"
109,"[292784, 7387882]","[4660967101, 4660967101]"
110,"[292790, 7386645]","[360083101, 360083101]"
111,"[292835, 7387878]","[5120004102, 5120004102]"
112,"[292858, 7379718]","[5110356102, 5110356102]"
113,"[292894, 7386631]","[5120039101, 5120039101, 5120039101, 5120039104, 5120039104, 5120039101]"
114,"[292955, 7387574]",[5121148101]
115,"[292979, 7380526]","[5110007101, 5110007101]"
116,"[293020, 7382233]","[5121176101, 5121176101, 5121176101, 5121176101]"
117,"[293096, 7379648]","[5110001102, 5110001102, 5110001101, 5110001101, 5110001101]"
118,"[293228, 7388177]","[5121171101, 5121171101]"
119,"[293248, 7377486]","[5120673101, 5120673101]"
120,"[293413, 7381563]","[5110050101, 5110050101]"
121,"[293502, 7351516]","[4750055101, 4750055101, 4750055101, 4750055101, 4750055101, 4750055101, 4750055101, 4750055101]"
122,"[293686, 7381740]",[5111332103]
123,"[293695, 7388144]","[5120628103, 5120628103]"
124,"[293710, 7387967]","[5120693101, 5120693101, 5120693101, 5120693101]"
125,"[293729, 7378582]","[5110926101, 5110926101, 5110926101, 5110926101]"
126,"[293745, 7379006]","[5080055101, 5080055101, 5080055101, 5080055101]"
127,"[293772, 7379091]","[5150331107, 5150331107, 5150331107]"
