,coord,frequentadores
0,"[-50502, 8231555]",[271962101]
1,"[278969, 7481777]","[711191101, [4370121102, 4370121102, 871636102]]"
2,"[289056, 7465674]","[301300101, 301300101, [4110367101, 370476102, 370476102, 2911440102, 810509102, 771115104, 850575103, 3270112104, 2750707101, 2750707103, 571041102, 2750707101, 571041102, 2750707102, 2750707103, 2750707102], [2900018101, 270071101, 4890830103, 2850309101, 2611229101, 2420830101, 2420830101, 1530618103, 210488102, 3351802103, 591681101, 3480039102, 3480039102, 591681101, 1671267102, 2690059101, 270071101, 4771358101, 1101048101, 3220071101, 4421381101, 4421381101, 4110367101, 531450102, 571041102, 571041102, 3220127101, 1041177102, 741469102, 2380638101, 340909101, 640622104, 2380638101, 700049103, 3900006103, 1041177102, 301080101]]"
3,"[297924, 7452374]",[1170913102]
4,"[301199, 7384274]","[5080362101, 5080362101, 5080362101, 5080362101]"
5,"[301641, 7359774]",[4710046101]
6,"[304619, 7405852]","[5161170101, 5161170101, 5161170101, 5161170101]"
7,"[304825, 7388193]","[5130026101, 5130026101, 5130026101]"
8,"[304980, 7397053]","[5030320102, 5030320102, 5030320102, [5030320102, 5030320101, 5030320102, 5030320101, 5030320102, 5030320101], [5030320101, 5030320102], [5030320102, 5030320101]]"
9,"[305474, 7394290]","[5030041102, 5030041102, 5030041102]"
10,"[305487, 7388944]","[5120030102, 5120030102, 5120030102, 5120030102]"
11,"[305867, 7396776]","[5030050101, 5030050101]"
12,"[306132, 7372370]","[4681949103, 4681949103, 4681949103, 4681949103]"
13,"[306958, 7401114]","[4920537101, 4920537101]"
14,"[308257, 7387208]","[5070692101, 5070692101]"
15,"[308644, 7398607]","[5071284102, 5071284102, 5071284102, 5071284102]"
16,"[309310, 7401388]","[5150350101, 5150350101, 5150350101, 5150350101, 5150350101]"
17,"[310443, 7397585]","[270082101, 270082101, 270082101, 270082101, [270082101], [270082101]]"
18,"[310678, 7400157]","[1030068101, 1030068101]"
19,"[310730, 7376772]","[4681725102, 4681725102, 4681725102, [4681773103, 4681773103], [4681725102, 4681773103], [4681725102, 4681773103]]"
20,"[310750, 7374154]","[4690002101, 4690002101, 4690002101]"
21,"[311254, 7400446]","[4880709102, 4880709102, 4880709102, 4880709102, [3190058101, 3190058101, 3190058101, 3190058101], [4881350102, 680535102, 3190058101, 4880709102], [4881350102, 4881350102], [4880709102, 3190058101, 680535102, 4881350102]]"
22,"[311282, 7384592]","[4660055103, 4660055103]"
23,"[311323, 7400048]","[871347101, 871347101, 871347101, 871347101]"
24,"[311642, 7399983]","[801315102, 801315102, 801315102, 801315102]"
25,"[311663, 7403685]","[1041086101, 1041086101]"
26,"[312571, 7387311]","[4930846101, 4930846101, 4930846101]"
27,"[314030, 7395610]","[4870609101, 4870609101, 4870609101]"
